,c,b1,m1,a,b2,m2
Plot1,,,,,,
Plot2,0.8620395242635518,0.0017597243264770891,766.417830654192,0.2119977176543691,-0.007308661391678306,2526.335425743907
Plot3,0.847653310293325,0.002533753093196484,801.554013587378,0.20666236505579721,-0.0061151128309757255,2572.9014523732835
Plot4,0.8877610687083176,0.0022707674049131823,735.9852583370571,0.17093428013011974,-0.006479958885023573,2617.1745611123374
Plot5,0.8414707307971605,0.004818551263930605,461.2946603577094,0.1593826973603331,-0.008427223728604228,2521.484021838906
Plot6,0.8857399452708268,0.002655104845233472,579.5394317989218,0.1565295501985333,-0.006121687422271775,2506.682098856807
Plot7,0.8573228689515617,0.0031383350087582605,702.1984429240904,0.1959886612776991,-0.009096534436385122,2587.8117289950837
Plot8,0.8470453622848219,0.002212434475094139,748.7821728298334,0.18638076582814192,-0.008209114496899535,2556.535166109914
Plot9,0.853186608327545,0.0018626048355630163,934.8442974352439,0.3485154482249187,-0.00744120769758947,2571.503749249216
Plot10,0.8692209023055512,0.002775320960663772,705.1148296868911,0.14695732431184547,-0.007759154949980004,2530.6112087491542
Plot11,0.8372828708588683,0.004057674774404995,545.0281357492038,0.17531857888174787,-0.008661735482605768,2627.368436688471
Plot12,0.882358966034386,0.0036153092538745574,550.9413561574434,0.10214697101506287,-0.008846616837300808,2566.787908210594
Plot13,0.8763443376673365,0.0027585391579663084,632.7621156944371,0.15659944462252284,-0.008228378787772857,2599.2138955109303
Plot14,0.8774058022507365,0.002230018472341448,797.8889595830996,0.1821281531759073,-0.006721313826429611,2531.673459850769
Plot15,0.8465394844241773,0.003263146149244788,571.3446651223873,0.1478441682750779,-0.009500057260968349,2575.097659379229
Plot16,0.8517157461860101,0.0024623306546175485,756.9534919939176,0.22899377719488706,-0.008412786637623433,2621.854615989386
Plot17,0.8286911011613751,0.003118265179048287,558.5647343431363,0.1965851468503697,-0.006829253014473729,2552.1113642790906
Plot18,0.886142282783425,0.003335639197126622,525.1665778399648,0.09306702843658453,-0.007654954855174061,2556.911661684032
Plot19,0.8322452715603472,0.007215512229574856,406.10469775890596,0.17478150883518778,-0.010893225270119045,2537.9997677336
Plot20,0.8599974311885838,0.0028138606416686974,591.2636333308502,0.17460019432959042,-0.006109547830881485,2627.5585099657746
Plot21,0.8182913001933146,0.002178645271039403,600.8237496444101,0.26388674086742353,-0.004612914399626261,2486.6124705043935
Plot22,0.8682781944680247,0.003973119001239553,586.7024782177674,0.10594354164594598,-0.007372942196370098,2575.402833715515
Plot23,0.7989058311870515,0.0028067295549846264,791.6426569840521,0.33728052950125287,-0.012813257886041662,2568.1371110673545
Plot24,0.8417188418224771,0.002993654774088472,618.7242673563861,0.18795182758302925,-0.010737726211173056,2616.3927846537003
Plot25,0.8381929609069133,0.0033395778389461953,541.981016517035,0.21380086765391915,-0.00868906672155705,2570.153839852997
Plot26,0.8653596919738589,0.003173235576272017,536.3206165004812,0.15733306989799567,-0.007667064472465264,2542.6757538488746
Plot27,0.8335086412100922,0.0029567134314171595,623.7805417588637,0.22005285784587775,-0.0068549613387409196,2590.9814754623662
Plot28,0.8195367955147975,0.002960493259352533,591.6193143045037,0.2243744231437504,-0.015038689985318918,2528.791589626098
Plot29,0.8654218785942078,0.0031700552759356,741.903542975517,0.1776417804445607,-0.010968501589277268,2563.9451372104663
Plot30,0.794512606208538,0.0037719919616469337,499.8514741916635,0.30767811131808437,-0.009125243950296982,2722.5265130256794
Plot31,0.7416763976235999,0.002604845201627907,671.9953779281547,0.41574810430216946,-0.011781431168355196,2529.392104228951
Plot32,0.8621065164182158,0.0033814607961346237,589.1124018606566,0.16337655131072537,-0.0098695711298686,2548.447078774699
Plot33,,,,,,
Plot34,0.8490354667586405,0.002265945215442081,668.3675133952817,0.2529658844811457,-0.009038308157473184,2620.6271659156055
Plot35,0.8490073390389231,0.0038711138908101195,509.1556215562528,0.18298296853597834,-0.008029236043430763,2602.8337797820313
Plot36,0.8810122909625463,0.0026701241962455,614.2753064695653,0.15715944341700183,-0.006188160601628857,2609.403340806279
Plot37,0.7267064451379228,0.0028711434274220266,559.0344719119463,0.43597083350820637,-0.007760259384454792,2619.7096172218603
Plot38,0.826359946026647,0.002759904330434425,523.7743299271307,0.24632554251460662,-0.008841650156973432,2564.167887583984
Plot39,0.8264213901207751,0.003349639387259881,524.8414521357136,0.21792548368974568,-0.009854712753240156,2544.945091099433
Plot40,0.8482143217831625,0.0028584580462891434,544.7372177588107,0.21338940061605693,-0.009498398689419377,2599.0684756383807
Plot41,0.8409539949700515,0.0024178977771769656,597.1107101631599,0.2124956881101758,-0.006690229302726004,2522.4756066312675
Plot42,0.8400503291611912,0.003423400921113823,545.5235002776827,0.22464694627782564,-0.009743102613943688,2560.9709635380023
Plot43,0.8475833496782661,0.002737571698339059,696.9778743761624,0.21584120899111323,-0.007958073614834698,2553.463260557677
Plot44,0.905581230369999,0.0024335788966915687,746.0741010212566,0.19827510460147654,-0.002864015002280296,2376.073658414938
Plot45,0.8055952307529133,0.002950851824013584,576.5954423697518,0.2960978288169043,-0.009682686815576243,2586.652835670406
Plot46,0.8685308480455396,0.0027866447025593085,619.2310285305587,0.17629266201280902,-0.007682861686316388,2641.9481442899487
Plot47,0.8256560612088923,0.002172375463162835,646.6420453779327,0.26119216166262454,-0.012814231361083448,2518.515472634214
Plot48,0.8857412934868623,0.0026366041341319164,575.1924541325366,0.1368329273907621,-0.006639866623879243,2574.2313929411184
